,ground_truth,pred,pred_class
0,5,4,coverage options
1,6,6,end conversation
2,4,4,continued conversation
3,3,0,claims processing
4,1,1,auto insurance premium
5,5,0,coverage options
6,1,5,auto insurance premium
7,2,0,billing and payments
8,5,0,coverage options
9,5,0,coverage options
10,1,1,auto insurance premium
11,1,1,auto insurance premium
12,5,0,coverage options
13,5,0,coverage options
14,5,0,coverage options
15,3,0,claims processing
16,5,0,coverage options
17,3,0,claims processing
18,8,5,property insurance
19,7,7,irrelevant of insurance
